team_id,team,year,wins,losses,win_%,singles,doubles,triples,home_runs,walks,sac_fly,sac_bunt,strikeouts,outs,r_o_error,runs,plate_appearances,sing/pa,doub/pa,trip/pa,hr/pa,hits,ab,avg,obs,slugging,ops,so_%,hr_%,walk_%,hits_to_run
201730,bos,2017,93,69,0.5740740740740741,888,278,23,195,514,39,16,1580,2265,55,785,5853,0.15171706817016914,0.0474970100803007,0.0039296087476507775,0.03331624807790876,1384,5229,0.2646777586536623,0.3282601176063646,0.43851596863645054,0.7667760862428151,0.26994703570818385,0.03331624807790876,0.08781821288228259,1.7630573248407644
201801,chn,2018,95,68,0.5828220858895705,913,221,28,157,690,35,39,1335,2376,52,761,5846,0.15617516250427643,0.03780362641122135,0.004789599726308587,0.02685596989394458,1319,5030,0.26222664015904573,0.34908774978279755,0.41093439363817097,0.7600221434209685,0.22836127266507014,0.02685596989394458,0.11802942182689018,1.733245729303548
201802,sea,2018,88,74,0.5432098765432098,889,289,23,195,474,42,12,1328,2386,56,676,5694,0.1561292588689849,0.05075518089216719,0.004039339655778012,0.03424657534246575,1396,5110,0.2731898238747554,0.33238535371489514,0.4532289628180039,0.785614316532899,0.23322795925535653,0.03424657534246575,0.08324552160168598,2.06508875739645
201803,mia,2018,63,98,0.391304347826087,864,309,23,192,678,48,38,1251,2436,39,589,5878,0.14698877169105137,0.05256890098673018,0.003912895542701599,0.032664171486900304,1388,5075,0.2734975369458128,0.35614549215652475,0.45694581280788177,0.8130913049644065,0.21282749234433482,0.032664171486900304,0.1153453555631167,2.3565365025466893
201804,tba,2018,90,72,0.5555555555555556,790,262,20,164,555,39,16,1422,2333,46,716,5647,0.13989729059677705,0.04639631662829821,0.003541703559412077,0.029041969187179034,1236,4991,0.2476457623722701,0.320680393912265,0.4067321178120617,0.7274125117243267,0.2518151230741987,0.029041969187179034,0.09828227377368515,1.7262569832402235
201805,phi,2018,80,82,0.49382716049382713,871,292,32,171,564,45,39,1465,2258,63,677,5800,0.15017241379310345,0.0503448275862069,0.005517241379310344,0.029482758620689654,1366,5089,0.2684220868539988,0.3387153387153387,0.43918255059933187,0.7778978893146706,0.2525862068965517,0.029482758620689654,0.09724137931034482,2.017725258493353
201806,kca,2018,58,104,0.35802469135802467,1030,271,36,205,601,57,23,1157,2433,43,638,5856,0.1758879781420765,0.04627732240437159,0.006147540983606557,0.03500683060109289,1542,5132,0.3004676539360873,0.37012089810017273,0.48713951675759937,0.857260414857772,0.19757513661202186,0.03500683060109289,0.10262978142076502,2.41692789968652
201807,hou,2018,103,59,0.6358024691358025,734,257,21,152,502,34,12,1687,2140,34,797,5573,0.1317064417728333,0.04611519827740894,0.0037681679526287456,0.02727435851426521,1164,4991,0.23321979563213785,0.30142934684277184,0.38449208575435784,0.6859214325971297,0.30270949219450927,0.02727435851426521,0.0900771577247443,1.4604767879548306
201808,mil,2018,96,67,0.588957055214724,807,239,40,173,616,41,42,1429,2264,57,754,5708,0.14138051857042747,0.04187105816398038,0.00700770847932726,0.0303083391730904,1259,4952,0.25424071082390953,0.33428418612943483,0.42346526655896605,0.7577494526884009,0.25035038542396637,0.0303083391730904,0.1079187105816398,1.669761273209549
201809,det,2018,63,99,0.3888888888888889,895,278,34,216,552,56,15,1216,2430,58,629,5750,0.15565217391304348,0.04834782608695652,0.00591304347826087,0.03756521739130435,1423,5069,0.2807259814559085,0.34789501497269687,0.4768198855790097,0.8247149005517065,0.21147826086956523,0.03756521739130435,0.096,2.262321144674086
201810,was,2018,82,80,0.5061728395061729,823,273,26,198,563,41,29,1418,2324,38,771,5733,0.14355485784057212,0.047619047619047616,0.0045351473922902496,0.03453689167974882,1320,5062,0.26076649545634134,0.33233321567243207,0.44231529039905176,0.7746485060714838,0.24733996162567592,0.03453689167974882,0.09820338391766963,1.7120622568093384
201811,cin,2018,67,95,0.41358024691358025,945,291,27,228,583,48,43,1258,2399,62,696,5884,0.1606050305914344,0.04945615227736234,0.004588715159755268,0.03874915023793338,1491,5148,0.2896270396270396,0.35888562034954147,0.48951048951048953,0.848396109860031,0.21380013596193065,0.03874915023793338,0.09908225696804894,2.1422413793103448
201812,lan,2018,93,70,0.5705521472392638,833,242,25,179,486,23,25,1567,2311,62,804,5753,0.1447940205110377,0.04206500956022945,0.004345558838866679,0.031114201286285417,1279,5157,0.24801241031607524,0.31150723614542886,0.4087647857281365,0.7202720218735654,0.2723796280201634,0.031114201286285417,0.08447766382756823,1.5907960199004976
201813,ari,2018,82,80,0.5061728395061729,861,259,19,174,581,33,29,1449,2359,43,693,5807,0.14826933011882212,0.04460134320647494,0.0032719132081970035,0.029963836748751506,1313,5121,0.2563952353056044,0.33025283347863993,0.41632493653583286,0.7465777700144728,0.24952643361460305,0.029963836748751506,0.10005166178749784,1.8946608946608947
201814,oak,2018,96,66,0.5925925925925926,832,268,19,184,529,30,23,1239,2499,53,812,5676,0.14658210007047218,0.047216349541930935,0.0033474277660324172,0.03241719520789288,1303,5041,0.2584804602261456,0.3271428571428571,0.4286847847649276,0.7558276419077847,0.2182875264270613,0.03241719520789288,0.09319943622269204,1.604679802955665
201815,nya,2018,100,62,0.6172839506172839,828,293,13,177,552,29,17,1635,2199,48,851,5791,0.14298048696252805,0.05059575202901053,0.0022448627180107063,0.030564669314453462,1311,5145,0.2548104956268222,0.3253580160670625,0.42001943634596695,0.7453774524130294,0.2823346572267311,0.030564669314453462,0.09532032464168537,1.5405405405405406
201816,sdn,2018,66,96,0.4074074074074074,930,283,32,185,588,39,36,1403,2328,46,617,5870,0.15843270868824533,0.048211243611584326,0.00545144804088586,0.03151618398637138,1430,5161,0.2770780856423174,0.34865238424326195,0.45185041658593295,0.8005028008291949,0.23901192504258945,0.03151618398637138,0.10017035775127768,2.3176661264181524
201817,col,2018,91,72,0.558282208588957,877,268,48,184,581,46,25,1409,2318,39,780,5795,0.15133735979292492,0.04624676445211389,0.00828300258843831,0.03175150992234685,1377,5104,0.2697884012539185,0.3416506717850288,0.4492554858934169,0.7909061576784457,0.24314063848144954,0.03175150992234685,0.10025884383088869,1.7653846153846153
201818,cle,2018,91,71,0.5617283950617284,815,311,23,200,468,21,16,1548,2283,49,818,5734,0.14213463550749914,0.05423787931635856,0.004011161492849668,0.03487966515521451,1349,5180,0.26042471042471044,0.3205150820250485,0.4451737451737452,0.7656888271987937,0.2699686083013603,0.03487966515521451,0.08161841646320195,1.6491442542787287
201819,tex,2018,67,95,0.41358024691358025,925,325,44,222,564,50,20,1122,2480,73,737,5825,0.15879828326180256,0.055793991416309016,0.007553648068669528,0.038111587982832616,1516,5118,0.29620945681906996,0.3628750872295883,0.5070339976553341,0.8699090848849224,0.19261802575107295,0.038111587982832616,0.09682403433476394,2.056987788331072
201820,ana,2018,80,82,0.49382716049382713,873,256,19,205,614,33,14,1387,2270,42,721,5713,0.15280938211097497,0.044810082268510416,0.003325748293366007,0.03588307369158061,1353,5010,0.27005988023952093,0.3477108007777974,0.45149700598802395,0.7992078067658214,0.24277962541571854,0.03588307369158061,0.10747418169088045,1.8765603328710125
201821,cha,2018,62,100,0.38271604938271603,892,292,24,196,743,47,18,1260,2424,63,656,5959,0.14968954522570901,0.04900151032052358,0.004027521396207418,0.03289142473569391,1404,5088,0.2759433962264151,0.36526029261653625,0.4583333333333333,0.8235936259498696,0.2114448733008894,0.03289142473569391,0.1246853498909213,2.1402439024390243
201822,atl,2018,90,72,0.5555555555555556,809,248,26,153,688,35,39,1425,2284,42,759,5749,0.14072012523917202,0.0431379370325274,0.004522525656635937,0.026613324056357628,1236,4945,0.24994944388270982,0.3394495412844037,0.4034378159757331,0.7428873572601368,0.24786919464254653,0.026613324056357628,0.11967298660636633,1.6284584980237153
201823,bal,2018,47,115,0.29012345679012347,959,325,34,234,656,41,17,1204,2408,60,622,5938,0.161502189289323,0.054732233075109465,0.0057258336140114515,0.03940720781407881,1552,5164,0.3005422153369481,0.37672752090087014,0.512587141750581,0.8893146626514511,0.20276187268440551,0.03940720781407881,0.11047490737622095,2.495176848874598
201824,sfn,2018,73,89,0.4506172839506173,898,291,42,156,569,48,49,1269,2398,63,603,5783,0.15528272522911984,0.05031990316444752,0.007262666436105828,0.026975618191250217,1387,5054,0.2744360902255639,0.3449127138070887,0.4412346656113969,0.7861473794184856,0.21943627874805463,0.026975618191250217,0.09839183814629085,2.30016583747927
201825,pit,2018,82,79,0.5093167701863354,893,287,26,174,566,35,37,1338,2324,67,692,5747,0.15538541847920653,0.049939098660170524,0.004524099530189664,0.030276666086653907,1380,5042,0.27370091233637445,0.34485202906255535,0.4444664815549385,0.7893185106174939,0.2328171219766835,0.030276666086653907,0.0984861666956673,1.9942196531791907
201826,min,2018,79,83,0.4876543209876543,921,280,26,198,653,49,25,1380,2340,49,738,5921,0.15554804931599392,0.04728930923830434,0.004391150143556831,0.033440297247086644,1425,5145,0.27696793002915454,0.35539592953651444,0.4569484936831876,0.812344423219702,0.23306873838878567,0.033440297247086644,0.11028542475933119,1.9308943089430894
201827,sln,2018,89,73,0.5493827160493827,942,242,26,144,660,48,55,1337,2359,75,759,5888,0.15998641304347827,0.04110054347826087,0.004415760869565217,0.024456521739130436,1354,5050,0.26811881188118813,0.34977422716220913,0.41188118811881186,0.761655415281021,0.22707201086956522,0.024456521739130436,0.11209239130434782,1.7839262187088274
201828,nyn,2018,77,85,0.47530864197530864,914,241,24,185,555,40,42,1448,2349,53,676,5851,0.15621261322850793,0.04118954024953,0.0041018629294137755,0.03161852674756452,1364,5161,0.26428986630497964,0.33339124391938846,0.42782406510366205,0.7612153090230506,0.24747906340796444,0.03161852674756452,0.09485558024269355,2.0177514792899407
201829,tor,2018,73,89,0.4506172839506173,911,325,32,208,621,47,18,1298,2409,55,709,5924,0.1537812288993923,0.05486158001350439,0.0054017555705604325,0.035111411208642807,1476,5183,0.28477715608720816,0.3584002734575286,0.480223808605055,0.8386240820625837,0.21910871033085752,0.035111411208642807,0.10482781904118839,2.081805359661495
201830,bos,2018,108,54,0.6666666666666666,848,246,35,176,596,45,9,1560,2224,46,876,5785,0.14658599827139154,0.042523768366464994,0.006050129645635264,0.03042350907519447,1305,5089,0.2564354490076636,0.33176265270506106,0.422283356258597,0.754046008963658,0.2696629213483146,0.03042350907519447,0.10302506482281763,1.4897260273972603
